'Keema Naan', 'Chicken Pakora', 'King Prawn Butterfly', 'Saag Aloo', 'Butter Chicken', 'Murgh Masala',,,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Naan', 'Pilau Rice', 'French Fries', 'Curry', 'Kurma',,,,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Garlic Naan', 'Bombay Aloo', 'Butter Chicken',,,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Keema Naan', 'Peshwari Naan', 'Mushroom Rice', 'Bombay Aloo', 'Chicken Tikka Masala', 'Dhansak',,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Mint Sauce', 'Plain Papadum', 'Pilau Rice', 'Special Fried Rice', 'Saag Aloo', 'Chicken Tikka Masala', 'Curry', 'Bhuna', 'Methi',,,,,,,,,,,,,,,,,,,
'Naan', 'Bombay Aloo', 'Curry', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Garlic Naan', 'Coke 1.5 ltr', 'Chicken Pakora', 'Lamb Chops', 'Butter Chicken', 'Chilli Paneer',,,,,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Mango Chutney', 'Plain Papadum', 'Pilau Rice', 'Peshwari Naan', 'Lemon Rice', 'Saag Aloo', 'Chicken Royal', 'Vegetable Biryani',,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Pilau Rice', 'Sheek Kehab', 'Saag Aloo', 'Curry', 'Tandoori Fish (Main)',,,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Peshwari Naan', 'Mini Bhaji', 'Chicken Tikka', 'Grapes Special',,,,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Pilau Rice', 'Mushroom Rice', 'Saag Paneer', 'Mushroom Bhajee', 'Tarka Dall', 'Madras', 'Butter Chicken', 'Jeera Chicken', 'Lamb Tikka Jalfrezi', 'Chicken Royal', 'Prawn Karahi',,,,,,,,,,,,,,,,,
'Naan', 'Onion Bhaji', 'Chicken Chaat', 'Bombay Aloo',,,,,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Dupiaza', 'Chicken Biryani',,,,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Mint Sauce', 'Lime Pickle', 'Red Sauce', 'Spicy Papadum', 'Plain Papadum', 'Garlic Naan', 'Pilau Rice', 'Stuffed Paratha', 'Saag Aloo', 'Mushroom Bhajee', 'Vindaloo', 'Cylon', 'Chicken Tikka Jalfrezi', 'Chicken Shashlick', 'Chicken Roshni', 'Kurma',,,,,,,,,,,
'Mango Chutney', 'Garlic Naan', 'Kulcha Naan',,,,,,,,,,,,,,,,,,,,,,,,,,
'Kulcha Naan', 'Mushroom Rice', 'Madras', 'Mushroom', 'Pathia',,,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Plain Rice', 'Pilau Rice', 'Curry', 'Bhuna', 'Chicken Tikka (Main)',,,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Pilau Rice', 'Peshwari Naan', 'Chicken Tikka Masala', 'Chicken Tikka Biryani',,,,,,,,,,,,,,,,,,,,,,,,
'Garlic Naan', 'Special Fried Rice', 'Mixed Starter', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Lime Pickle', 'Mango Chutney', 'Plain Papadum', 'Naan', 'Garlic Naan', 'Lamb Chops', 'Achar Lamb', 'Chicken Tikka Pasanda',,,,,,,,,,,,,,,,,,,,,
'Mini Bhaji', 'Bombay Aloo', 'Chicken Tikka Masala', 'Chicken Roshni',,,,,,,,,,,,,,,,,,,,,,,,,
'Mint Sauce', 'Onion Chutney', 'Mango Chutney', 'Plain Papadum', 'Chapati', 'Peshwari Naan', 'Pilau Rice', 'Saag Paneer', 'Chicken Tikka Masala', 'Chicken Shashlick',,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Mini Bhaji', 'Prawn Puree', 'Cauliflower Bhajee', 'Mushroom Bhajee', 'Bhindi Bhajee', 'Vindaloo', 'Butter Chicken', 'Lamb Chops (Main)',,,,,,,,,,,,,,,,,,,,
'Naan', 'Pilau Rice', 'Chicken Tikka Masala', 'Lamb Tikka Jalfrezi',,,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Onion Chutney', 'Plain Papadum', 'Naan', 'Onion Bhaji', 'Rogon', 'Chicken Biryani',,,,,,,,,,,,,,,,,,,,,,
'Naan', 'Plain Rice', 'Sheek Kehab', 'Bhuna', 'Chicken Balti',,,,,,,,,,,,,,,,,,,,,,,,
'Mango Chutney', 'Mint Sauce', 'Plain Papadum', 'Naan', 'Pilau Rice', 'Keema Naan', 'Prawn Puree', 'Curry', 'Bhuna',,,,,,,,,,,,,,,,,,,,
'Naan', 'Plain Rice', 'Onion Rice', 'Chicken Tikka Masala', 'Chicken Sylhet',,,,,,,,,,,,,,,,,,,,,,,,
'Keema Naan', 'Keema Rice', 'Bombay Aloo', 'Madras',,,,,,,,,,,,,,,,,,,,,,,,,
'Plain Papadum', 'Garlic Naan', 'Chicken Tikka', 'Chicken Tikka Jalfrezi', 'Methi', 'Garlic Tikka Chilli Masala',,,,,,,,,,,,,,,,,,,,,,,
'Dahi', 'Garlic Naan', 'Aloo Chaat', 'Sheek Kehab', 'Saag Aloo', 'Chana Masala', 'Lamb Karahi', 'Paneer Tikka Masala', 'Butter Chicken',,,,,,,,,,,,,,,,,,,,
'Red Sauce', 'Plain Papadum', 'Mini Bhaji', 'Mushroom Rice', 'Saag Aloo', 'Mushroom Bhajee', 'Madras', 'Chicken Balti',,,,,,,,,,,,,,,,,,,,,
'Pilau Rice', 'Plain Rice', 'Peshwari Naan', 'Vegetable Samosa', 'Saag Aloo', 'Tarka Dall', 'Madras', 'Curry', 'Paneer Shaslick', 'Tandoori Mixed Grill',,,,,,,,,,,,,,,,,,,
'Kulcha Naan', 'Pilau Rice', 'Aloo Gobi', 'Cylon',,,,,,,,,,,,,,,,,,,,,,,,,
